[ 2025-12-07 00:41:02,326 ] - 16 root - INFO - Initiate the Data Ingestion
[ 2025-12-07 00:41:27,921 ] - 60 root - INFO - Performing Train Test Split on dataset
[ 2025-12-07 00:41:27,921 ] - 62 root - INFO - Excited split_data as train test split
[ 2025-12-07 00:41:27,926 ] - 67 root - INFO - Export tain and test file path
[ 2025-12-07 00:41:27,964 ] - 72 root - INFO - Exporting train and test path
[ 2025-12-07 00:41:27,964 ] - 20 root - INFO - Data Ingestion Completed
[ 2025-12-07 00:41:27,967 ] - 24 root - INFO - Data Validation has started
[ 2025-12-07 00:41:28,073 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 00:41:28,073 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 00:41:28,073 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 00:41:28,073 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 00:41:28,184 ] - 26 root - INFO - Data Validation Completed
[ 2025-12-07 00:41:28,186 ] - 28 root - INFO - Data Transformation Started
[ 2025-12-07 00:41:28,186 ] - 61 root - INFO - Inititae data transformation
[ 2025-12-07 00:41:28,186 ] - 63 root - INFO - Starting data transformation
[ 2025-12-07 00:41:28,270 ] - 45 root - INFO - get_data_transformer_object method of transformation class
[ 2025-12-07 00:41:28,270 ] - 50 root - INFO - Initialize KNN iwth these params {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-07 00:41:28,289 ] - 42 root - INFO - Object is going to be transfered in the folder
[ 2025-12-07 00:41:28,289 ] - 49 root - INFO - Object have been successfully been saved
[ 2025-12-07 00:41:28,289 ] - 33 root - INFO - Data Transformation ended
