[ 2025-12-07 14:13:33,556 ] - 18 root - INFO - Initiate the Data Ingestion
[ 2025-12-07 14:13:48,716 ] - 60 root - INFO - Performing Train Test Split on dataset
[ 2025-12-07 14:13:48,716 ] - 62 root - INFO - Excited split_data as train test split
[ 2025-12-07 14:13:48,716 ] - 67 root - INFO - Export tain and test file path
[ 2025-12-07 14:13:48,754 ] - 72 root - INFO - Exporting train and test path
[ 2025-12-07 14:13:48,756 ] - 22 root - INFO - Data Ingestion Completed
[ 2025-12-07 14:13:48,757 ] - 26 root - INFO - Data Validation has started
[ 2025-12-07 14:13:48,857 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 14:13:48,857 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 14:13:48,894 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 14:13:48,894 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 14:13:48,999 ] - 28 root - INFO - Data Validation Completed
[ 2025-12-07 14:13:48,999 ] - 30 root - INFO - Data Transformation Started
[ 2025-12-07 14:13:48,999 ] - 61 root - INFO - Inititae data transformation
[ 2025-12-07 14:13:48,999 ] - 63 root - INFO - Starting data transformation
[ 2025-12-07 14:13:49,082 ] - 45 root - INFO - get_data_transformer_object method of transformation class
[ 2025-12-07 14:13:49,082 ] - 50 root - INFO - Initialize KNN iwth these params {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-07 14:13:49,093 ] - 44 root - INFO - Object is going to be transfered in the folder
[ 2025-12-07 14:13:49,096 ] - 51 root - INFO - Object have been successfully been saved
[ 2025-12-07 14:13:49,096 ] - 35 root - INFO - Data Transformation ended
[ 2025-12-07 14:13:49,096 ] - 39 root - INFO - Data Training Started
