[ 2025-12-07 14:17:27,192 ] - 18 root - INFO - Initiate the Data Ingestion
[ 2025-12-07 14:17:53,713 ] - 60 root - INFO - Performing Train Test Split on dataset
[ 2025-12-07 14:17:53,713 ] - 62 root - INFO - Excited split_data as train test split
[ 2025-12-07 14:17:53,713 ] - 67 root - INFO - Export tain and test file path
[ 2025-12-07 14:17:53,747 ] - 72 root - INFO - Exporting train and test path
[ 2025-12-07 14:17:53,747 ] - 22 root - INFO - Data Ingestion Completed
[ 2025-12-07 14:17:53,747 ] - 26 root - INFO - Data Validation has started
[ 2025-12-07 14:17:53,831 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 14:17:53,831 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 14:17:53,831 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 14:17:53,831 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 14:17:53,944 ] - 28 root - INFO - Data Validation Completed
[ 2025-12-07 14:17:53,944 ] - 30 root - INFO - Data Transformation Started
[ 2025-12-07 14:17:53,944 ] - 61 root - INFO - Inititae data transformation
[ 2025-12-07 14:17:53,944 ] - 63 root - INFO - Starting data transformation
[ 2025-12-07 14:17:54,027 ] - 45 root - INFO - get_data_transformer_object method of transformation class
[ 2025-12-07 14:17:54,027 ] - 50 root - INFO - Initialize KNN iwth these params {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-07 14:17:54,042 ] - 44 root - INFO - Object is going to be transfered in the folder
[ 2025-12-07 14:17:54,042 ] - 51 root - INFO - Object have been successfully been saved
[ 2025-12-07 14:17:54,044 ] - 35 root - INFO - Data Transformation ended
[ 2025-12-07 14:17:54,044 ] - 39 root - INFO - Data Training Started
[ 2025-12-07 14:18:33,551 ] - 44 root - INFO - Object is going to be transfered in the folder
[ 2025-12-07 14:18:33,567 ] - 51 root - INFO - Object have been successfully been saved
