[ 2025-12-06 02:36:24,253 ] - 15 root - INFO - Initiate the Data Ingestion
[ 2025-12-06 02:36:49,528 ] - 60 root - INFO - Performing Train Test Split on dataset
[ 2025-12-06 02:36:49,528 ] - 62 root - INFO - Excited split_data as train test split
[ 2025-12-06 02:36:49,530 ] - 67 root - INFO - Export tain and test file path
[ 2025-12-06 02:36:49,570 ] - 72 root - INFO - Exporting train and test path
[ 2025-12-06 02:36:49,570 ] - 19 root - INFO - Data Ingestion Completed
[ 2025-12-06 02:36:49,574 ] - 23 root - INFO - Data Validation has started
[ 2025-12-06 02:36:49,650 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-06 02:36:49,650 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-06 02:36:49,664 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-06 02:36:49,664 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-06 02:36:49,775 ] - 25 root - INFO - Data Validation Completed
