[ 2025-12-07 00:32:39,705 ] - 16 root - INFO - Initiate the Data Ingestion
[ 2025-12-07 00:33:24,959 ] - 60 root - INFO - Performing Train Test Split on dataset
[ 2025-12-07 00:33:24,960 ] - 62 root - INFO - Excited split_data as train test split
[ 2025-12-07 00:33:24,961 ] - 67 root - INFO - Export tain and test file path
[ 2025-12-07 00:33:25,085 ] - 72 root - INFO - Exporting train and test path
[ 2025-12-07 00:33:25,086 ] - 20 root - INFO - Data Ingestion Completed
[ 2025-12-07 00:33:25,094 ] - 24 root - INFO - Data Validation has started
[ 2025-12-07 00:33:25,225 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 00:33:25,225 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 00:33:25,228 ] - 32 root - INFO - Required number of columns 2
[ 2025-12-07 00:33:25,228 ] - 33 root - INFO - DataFrame has columns 31
[ 2025-12-07 00:33:25,513 ] - 26 root - INFO - Data Validation Completed
[ 2025-12-07 00:33:25,514 ] - 28 root - INFO - Data Transformation Started
[ 2025-12-07 00:33:25,514 ] - 61 root - INFO - Inititae data transformation
[ 2025-12-07 00:33:25,514 ] - 63 root - INFO - Starting data transformation
